,average_effective_entropy_bits,average_challenge_length,user_verification,unique_challenge_count
0,3515.61,597.0,required,5
1,3525.17,597.0,required,5
2,3513.23,597.0,required,5
3,235.06,50.27,preferred,10
4,3520.39,597.0,required,5
5,714.01,128.0,discouraged,5
6,3530.06,597.0,required,5
7,712.86,128.0,discouraged,5
8,716.11,128.0,discouraged,5
9,3509.17,597.0,required,5
10,3518.96,597.0,required,5
11,3524.45,597.0,required,5
12,717.31,128.0,discouraged,5
13,3524.57,597.0,required,5
14,3517.52,597.0,required,5
15,717.93,128.0,discouraged,5
16,3515.85,597.0,required,5
17,3518.96,597.0,required,5
18,713.47,128.0,discouraged,5
19,3525.88,597.0,required,5
20,228.67,60.0,required,10
21,710.99,128.0,discouraged,5
22,3523.37,597.0,required,5
23,3523.97,597.0,required,5
24,3519.79,597.0,required,5
25,718.0,128.0,discouraged,5
26,3520.99,597.0,required,5
27,720.61,128.0,discouraged,5
28,3514.9,597.0,required,5
29,3525.88,597.0,required,5
30,3517.29,597.0,required,5
31,708.81,128.0,discouraged,5
32,3514.54,597.0,required,5
33,3522.78,597.0,required,5
34,3512.87,597.0,required,5
35,158.02,32.0,required,1
36,3522.18,597.0,required,5
37,715.88,128.0,discouraged,5
38,3529.46,597.0,required,5
39,717.57,128.0,discouraged,5
40,3513.11,597.0,required,5
41,3513.82,597.0,required,5
42,154.25,32.0,preferred,5
43,713.65,128.0,discouraged,5
44,3519.79,597.0,required,5
45,232.61,49.13,preferred,10
46,713.22,128.0,discouraged,5
47,3519.79,597.0,required,5
48,3519.08,597.0,required,5
49,3517.52,597.0,required,5
50,3518.84,597.0,required,5
51,3519.08,597.0,required,5
52,3525.05,597.0,required,5
53,724.92,128.0,discouraged,5
54,3513.46,597.0,required,5
55,713.57,128.0,discouraged,5
56,156.65,32.0,preferred,5
57,720.38,128.0,discouraged,5
58,3504.15,597.0,required,5
59,3514.78,597.0,required,5
60,158.81,32.0,required,5
61,3517.4,597.0,required,5
62,3521.82,597.0,required,5
63,3518.0,597.0,required,5
64,155.23,32.0,unknown,1
65,3527.43,597.0,required,5
66,710.27,128.0,discouraged,5
67,3521.11,597.0,required,5
68,718.77,128.0,discouraged,5
69,3520.39,597.0,required,5
70,3519.08,597.0,required,5
71,3515.14,597.0,required,5
72,3518.0,597.0,required,5
73,3521.82,597.0,required,5
74,3518.48,597.0,required,5
75,3520.15,597.0,required,5
76,3517.64,597.0,required,5
77,370.23,64.0,preferred,5
78,152.0,32.0,required,1
79,716.75,128.0,discouraged,5
80,715.93,128.0,discouraged,5
81,3526.72,597.0,required,5
82,234.75,49.73,preferred,10
83,3516.09,597.0,required,5
84,3524.69,597.0,required,5
85,3522.9,597.0,required,5
